                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.137,                 1.4938,                 1.0238,                0.11513,                0.83333,                0.59177,                0.24754,                 1.3351,                 3.9346,                0.92747,              0.0001482,              0.0001482,              0.0001482
                     35,                0.90561,                 1.2893,                0.90865,                 0.1625,                0.83333,                0.59808,                0.26182,                 1.5046,                  3.858,                0.97935,             0.00015045,             0.00015045,             0.00015045
                     36,                 1.1117,                 1.5303,                0.92404,                 0.1625,                0.83333,                0.59808,                0.26182,                 1.5046,                  3.858,                0.97935,             0.00015256,             0.00015256,             0.00015256
                     37,                0.72495,                 1.6056,                0.93354,                0.17778,                0.83333,                0.48912,                0.23261,                 1.5783,                 3.7854,                0.96996,             0.00015454,             0.00015454,             0.00015454
                     38,                 1.0473,                 1.5891,                0.97593,                0.17778,                0.83333,                0.48912,                0.23261,                 1.5783,                 3.7854,                0.96996,             0.00015639,             0.00015639,             0.00015639
                     39,                0.92482,                 1.4697,                0.97635,                0.20833,                0.83333,                0.54729,                0.28514,                  1.843,                 3.7078,                 1.0963,             0.00015811,             0.00015811,             0.00015811
                     40,                0.98655,                 1.3411,                  0.929,                0.20833,                0.83333,                0.54729,                0.28514,                  1.843,                 3.7078,                 1.0963,             0.00015969,             0.00015969,             0.00015969
                     41,                 0.8783,                 1.5392,                0.87288,                0.21591,                0.83333,                0.60229,                0.29768,                 1.9581,                 3.6681,                 1.1556,             0.00016115,             0.00016115,             0.00016115
                     42,                 1.1278,                 1.3897,                0.96307,                0.21591,                0.83333,                0.60229,                0.29768,                 1.9581,                 3.6681,                 1.1556,             0.00016247,             0.00016247,             0.00016247
                     43,                0.97832,                 1.2975,                0.93172,                0.18333,                0.83333,                0.67819,                0.31542,                 1.9896,                 3.6198,                 1.1746,             0.00016366,             0.00016366,             0.00016366
                     44,                 1.1045,                 1.3682,                0.91738,                0.18333,                0.83333,                0.67819,                0.31542,                 1.9896,                 3.6198,                 1.1746,             0.00016471,             0.00016471,             0.00016471
                     45,                0.94783,                 1.0947,                0.88911,                0.19091,                0.83333,                 0.7635,                0.39063,                 1.9587,                 3.5724,                 1.2013,             0.00016564,             0.00016564,             0.00016564
                     46,                0.92853,                 1.1464,                0.90755,                0.19091,                0.83333,                 0.7635,                0.39063,                 1.9587,                 3.5724,                 1.2013,             0.00016643,             0.00016643,             0.00016643
                     47,                0.86651,                 1.1682,                0.88497,                0.19444,                0.83333,                0.76537,                0.40016,                 1.9466,                 3.5142,                 1.1988,             0.00016709,             0.00016709,             0.00016709
                     48,                 1.0641,                 1.4099,                0.98547,                0.19444,                0.83333,                0.76537,                0.40016,                 1.9466,                 3.5142,                 1.1988,             0.00016762,             0.00016762,             0.00016762
                     49,                0.91203,                 1.1091,                0.88436,                0.18803,                0.83333,                 0.7237,                0.40302,                 1.7542,                 3.5161,                 1.0189,             0.00016802,             0.00016802,             0.00016802
                     50,                0.99339,                 1.0962,                0.96338,                0.18803,                0.83333,                 0.7237,                0.40302,                 1.7542,                 3.5161,                 1.0189,             0.00016828,             0.00016828,             0.00016828
                     51,                 1.2446,                 1.6067,                 1.0471,                0.19091,                0.83333,                0.59655,                 0.3123,                 1.6774,                 3.5146,                0.98823,             0.00016842,             0.00016842,             0.00016842
                     52,                 1.0571,                 1.1074,                0.91063,                0.19091,                0.83333,                0.59655,                 0.3123,                 1.6774,                 3.5146,                0.98823,             0.00016842,             0.00016842,             0.00016842
                     53,                 1.0132,                 1.0392,                0.96437,                0.19091,                0.83333,                0.59655,                 0.3123,                 1.6774,                 3.5146,                0.98823,             0.00016829,             0.00016829,             0.00016829
                     54,                 1.1985,                 1.2232,                 1.0309,                0.18182,                0.83333,                0.57155,                0.30992,                 1.6458,                 3.5268,                0.98686,             0.00016802,             0.00016802,             0.00016802
                     55,                  1.008,                 1.1666,                0.92221,                0.18182,                0.83333,                0.57155,                0.30992,                 1.6458,                 3.5268,                0.98686,             0.00016763,             0.00016763,             0.00016763
                     56,                0.92342,                 1.0863,                 0.9649,                0.18182,                0.83333,                0.57155,                0.30992,                 1.6458,                 3.5268,                0.98686,              0.0001671,              0.0001671,              0.0001671
                     57,                0.96559,                 1.0165,                0.86692,                0.18182,                0.83333,                 0.7203,                 0.3743,                 1.7933,                 3.4844,                 1.0612,             0.00016644,             0.00016644,             0.00016644
                     58,                0.91205,                 0.9282,                0.91306,                0.18182,                0.83333,                 0.7203,                 0.3743,                 1.7933,                 3.4844,                 1.0612,             0.00016565,             0.00016565,             0.00016565
                     59,                0.91333,                 1.0237,                0.91849,                0.18182,                0.83333,                 0.7203,                 0.3743,                 1.7933,                 3.4844,                 1.0612,             0.00016472,             0.00016472,             0.00016472
                     60,                0.77432,                0.93949,                0.91849,                0.18333,                0.83333,                 0.7635,                 0.3793,                 1.9643,                 3.4467,                 1.1786,             0.00016367,             0.00016367,             0.00016367
                     61,                 1.0286,                 1.1262,                 0.8994,                0.18333,                0.83333,                 0.7635,                 0.3793,                 1.9643,                 3.4467,                 1.1786,             0.00016248,             0.00016248,             0.00016248
                     62,                0.91985,                   1.11,                0.94035,                0.18333,                0.83333,                 0.7635,                 0.3793,                 1.9643,                 3.4467,                 1.1786,             0.00016116,             0.00016116,             0.00016116
                     63,                0.97017,                 1.0918,                0.91338,                0.20202,                0.83333,                 0.7237,                0.37701,                 2.0519,                  3.346,                 1.2746,             0.00015971,             0.00015971,             0.00015971
                     64,                 1.1031,                 1.2327,                0.96545,                0.20202,                0.83333,                 0.7237,                0.37701,                 2.0519,                  3.346,                 1.2746,             0.00015813,             0.00015813,             0.00015813
                     65,                 1.0266,                 1.0761,                0.88797,                0.20202,                0.83333,                 0.7237,                0.37701,                 2.0519,                  3.346,                 1.2746,             0.00015641,             0.00015641,             0.00015641
                     66,                0.72286,                0.90073,                0.88712,                0.82752,                0.33333,                0.72183,                0.37598,                 2.0745,                 3.2639,                 1.2877,             0.00015456,             0.00015456,             0.00015456
                     67,                0.81359,                0.94835,                0.92041,                0.82752,                0.33333,                0.72183,                0.37598,                 2.0745,                 3.2639,                 1.2877,             0.00015258,             0.00015258,             0.00015258
                     68,                0.75051,                0.90769,                0.88728,                0.82752,                0.33333,                0.72183,                0.37598,                 2.0745,                 3.2639,                 1.2877,             0.00015047,             0.00015047,             0.00015047
